Page,Date,Time_Reported,Time_Occurred,Year,Incident_Type,Incident_Type_Clean,Location,Location_Clean,Address,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,
52,"March 18, 2024",03/20/2024 at 8:59 AM,03/18/2024 at 12:00 AM,2024,Larceny,Larceny,Seigle Hall,Seigle Hall,"Seigle Hall, Washington University in St. Louis, MO",Complainant reports theft of headphones. Loss $300,Active,240095,15282,,,,,,,,,,,,
52,"March 16, 2024",03/16/2024 at 4:19 PM,03/16/2024 at 3:00 PM,2024,Harassment,Harassment,Dardick House,Dardick House,"Dardick House, Washington University in St. Louis, MO",Complainant reports concerning messages.,Closed,240092,15890,,,,,,,,,,,,
52,"March 13, 2024",03/14/2024 at 11:50 AM,03/13/2024 at 10:30 AM,2024,Larceny,Larceny,West Campus Library,West Campus Library,"West Campus Library, Washington University in St. Louis, MO",Complainant reports theft of purse. Loss Unknown,Active,240091,15284,,,,,,,,,,,,
52,"March 1, 2024",03/04/2024 at 9:00 AM,03/01/2024 at 3:00 PM,2024,Larceny,Larceny,Seigle Hall,Seigle Hall,"Seigle Hall, Washington University in St. Louis, MO",Complainant reports theft of office supplies and money. Loss $70,Active,240077,15265,,,,,,,,,,,,
52,"February 29, 2024",02/29/2024 at 2:14 PM,02/29/2024 at 12:50 PM,2024,Larceny,Larceny,Lopata Hall,Lopata Hall,"Lopata Hall, Washington University in St. Louis, MO",Complainant reports theft of laptop bag. Loss $1960,Inactive,240076,15258,,,,,,,,,,,,
52,"February 27, 2024",02/28/2024 at 1:06 AM,02/27/2024 at 11:37 PM,2024,Trespassing,Trespassing,Somers Family Hall,Somers Family Hall,"Somers Family Hall, Washington University in St. Louis, MO",Subjects with no WUSTL affiliation located on campus.,Active,240074,15885,,,,,,,,,,,,
52,"February 27, 2024",02/28/2024 at 3:57 PM,02/27/2024 at 2:00 PM,2024,Motor Vehicle Theft,Stolen Vehicle,Lee Dorm,Lee Dorm,"Lee Dorm, Washington University in St. Louis, MO",Complainant reports theft of motor scooter. Loss $250,Active,240075,15252,,,,,,,,,,,,
52,"February 21, 2024",02/21/2024 at 8:42 PM,02/21/2024 at 7:15 PM,2024,Motor Vehicle Theft,Stolen Vehicle,Whitaker,Whitaker Hall,"Whitaker Hall, Washington University in St. Louis, MO",Complainant reports theft of motorized scooter. Loss $250,Inactive,240067,15250,,,,,,,,,,,,
52,"February 20, 2024",02/20/2024 at 5:47 PM,02/20/2024 at 12:30 PM,2024,Larceny,Larceny,Olin Library,Olin Library,"1 Brookings Dr, St. Louis, MO 63130",Complainant reports theft of electric scooter. Loss $400,Active,240064,15245,,,,,,,,,,,,
53,"February 18, 2024",03/05/2024 at 1:00 PM,02/18/2024 at 1:59 PM,2024,Larceny,Larceny,Mallinckrodt UPS Drop Box,Mallinckrodt Center,"Mallinckrodt Center, Washington University in St. Louis, MO",Complainant reports theft of packages. Loss $798,Active,240079,15269,,,,,,,,,,,,
53,"February 17, 2024",02/17/2024 at 1:57 PM,02/17/2024 at 12:30 AM,2024,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of skateboard.,Unfounded; Returned To Owner,240060,15881,,,,,,,,,,,,
53,"February 10, 2024",02/10/2024 at 3:44 PM,02/10/2024 at 11:01 AM,2024,Larceny,Larceny,Green Hall,Green Hall,"Green Hall, Washington University in St. Louis, MO",Complainant reports theft of bike. Loss $100,Cleared by Arrest; Property Recovered,240054,15193,,,,,,,,,,,,
53,"February 7, 2024",02/07/2024 at 9:28 AM,02/07/2024 at 9:28 AM,2024,Harassment,Harassment,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports concerning communication.,Active,240048,15877,,,,,,,,,,,,
53,"February 6, 2024",02/09/2024 at 9:27 PM,02/06/2024 at 8:00 AM,2024,Fraud,Fraud,Zetcher House,Zetcher House,"Zetcher House, Washington University in St. Louis, MO",Complainant reports fraudulent sale of goods.,Active,240052,15879,,,,,,,,,,,,
53,"February 5, 2024",02/05/2024 at 8:09 AM,02/05/2024 at 7:00 AM,2024,Trespassing,Trespassing,Bauer Hall,Bauer Hall,"Bauer Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,240046,15875,,,,,,,,,,,,
53,"January 31, 2024",02/01/2024 at 5:14 PM,01/31/2024 at 11:15 PM,2024,Larceny,Larceny,Wallace Dr.,Wallace Dr,"Wallace Dr, Washington University in St. Louis, MO",Complainant reports theft of bike. Loss $90,Exceptional Clearance,240037,15185,,,,,,,,,,,,
53,"January 30, 2024",01/31/2024 at 8:37 AM,01/30/2024 at 4:00 PM,2024,Motor Vehicle Theft,Stolen Vehicle,Eads Hall,Eads Hall,"Eads Hall, Washington University in St. Louis, MO",Complainant reports theft of electric bike. Loss $1500,Active,240033,15179,,,,,,,,,,,,
53,"January 30, 2024",02/01/2024 at 2:00 PM,01/30/2024 at 3:00 PM,2024,Larceny,Larceny,Mallinckrodt Center,Mallinckrodt Center,"Mallinckrodt Center, Washington University in St. Louis, MO",Complainant reported theft of catalytic converter. Loss $1000,Active,240036,15411,,,,,,,,,,,,
53,"January 29, 2024",01/29/2024 at 5:55 PM,01/29/2024 at 11:00 AM,2024,Harassment,Harassment,Beaumont Dorm,Beaumont Dorm,"Beaumont Dorm, Washington University in St. Louis, MO",Complainant reports concerning online posts.,Closed,240029,15872,,,,,,,,,,,,
54,"January 29, 2024",01/29/2024 at 1:19 PM,01/29/2024 at 10:50 AM,2024,Larceny,Larceny,Brown Hall,Brown Hall,"Brown Hall, Washington University in St. Louis, MO",Complainant reports theft of headphones. Loss $150,Active,240028,15170,,,,,,,,,,,,
54,"January 29, 2024",02/04/2024 at 10:34 AM,01/29/2024 at 10:34 AM,2024,Larceny,Larceny,Shanedling Dorm,Shanedling Dorm,"Shanedling Hall, Washington University in St. Louis, MO",Complainant reports theft of bike. Loss $250,Active,240043,15183,,,,,,,,,,,,
54,"January 26, 2024",02/22/2024 at 11:49 AM,01/26/2024 at 7:00 AM,2024,Fraud,Fraud,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports fraudulent bank transactions.,Active,240068,15883,,,,,,,,,,,,
54,"January 18, 2024",01/20/2024 at 3:10 PM,01/18/2024 at 6:00 PM,2024,Larceny,Larceny,Shuttle,Multiple Locations,N/A,Complainant reports theft of money. Loss $165,Active,240015,15155,,,,,,,,,,,,
54,"January 18, 2024",01/18/2024 at 4:20 PM,01/18/2024 at 10:00 AM,2024,Harassment,Harassment,Habif Health and Wellness Center,Habif Health and Wellness Center,"Habif Health and Wellness Center, Washington University in St. Louis, MO",Complainant reports concerning phone calls.,Active,240012,15864,,,,,,,,,,,,
54,"January 17, 2024",01/23/2024 at 2:30 PM,01/17/2024 at 10:00 PM,2024,Larceny,Larceny,Umrath Hall,Umrath Hall,"Umrath Hall, Washington University in St. Louis, MO",Complainant reports theft of iPad. Loss $400,Active,240018,15174,,,,,,,,,,,,
54,"January 16, 2024",01/23/2024 at 9:51 AM,01/16/2024 at 2:00 PM,2024,Larceny,Larceny,Sumers Rec Ceter,Sumers Rec Center,"Sumers Rec Center, Washington University in St. Louis, MO",Complainant reports theft of perfume. Loss $24,Active,240017,15158,,,,,,,,,,,,
54,"January 15, 2024",01/23/2024 at 10:48 PM,01/15/2024 at 10:00 PM,2024,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of money. Loss $100,Active,240006,15153,,,,,,,,,,,,
54,"January 12, 2024",01/18/2024 at 1:44 PM,01/12/2024 at 12:00 PM,2024,Stalking,Stalking,Jubel Hall,Jubel Hall,"Jubel Hall, Washington University in St. Louis, MO",Complainant reports influx of concerning emails.,Active,240010,15858,,,,,,,,,,,,
54,"January 2, 2024",01/03/2024 at 10:22 AM,01/02/2024 at 4:30 PM,2024,Larceny,Larceny,Eads Hall,Eads Hall,"Eads Hall, Washington University in St. Louis, MO",Complainant reports theft of electronics. Loss $900,Active,240002,15136,,,,,,,,,,,,
55,"December 30, 2023",01/02/2024 at 12:09 AM,12/30/2023 at 7:30 AM,2023,Larceny,Larceny,Walker Hall,Walker Hall,"Walker Hall, Washington University in St. Louis, MO",Complainant reports theft of scrap metal. Loss $100,Active,240001,15138,,,,,,,,,,,,
55,"December 19, 2023",01/25/2024 at 9:25 PM,12/19/2023 at 4:00 PM,2023,Larceny,Larceny,Millbrook 3,Millbrook 3,"6926 Forest Park Pkwy, University City, MO 63130",Complainant reports theft of bike. Loss $560,Inactive,240021,15172,,,,,,,,,,,,
55,"December 19, 2023",12/19/2023 at 8:30 AM,12/19/2023 at 7:30 AM,2023,Robbery-Off Campus,Robbery,4500 block of Pine,4500 block of Pine,"4500 Pine, St. Louis, MO",Complainant reports that while walking to her car a suspect approached her on foot and stole her phone. Victim recovered her phone from the bushes where the suspect threw it while running away. Incident was not reported to the responsible jurisdiction.,Inactive,230482,15104,,,,,,,,,,,,
55,"December 14, 2023",12/14/2023 at 10:48 PM,12/14/2023 at 3:09 PM,2023,Larceny,Larceny,Weil Hall,Weil Hall,"Weil Hall, Washington University in St. Louis, MO",Complainant reports the theft of an unsecured bicycle from the stairwell. Loss $1000,Cleared By Arrest,230476,15094,,,,,,,,,,,,
55,"December 13, 2023",12/14/2023 at 1:07 PM,12/13/2023 at 7:30 PM,2023,Larceny,Larceny,Lopata House,Lopata House,"Lopata House, Washington University in St. Louis, MO",Complainant reported the theft of an unsecured scooter. Loss $300,Inactive,230472,15096,,,,,,,,,,,,
55,"December 12, 2023",12/21/2023 at 10:48 AM,12/12/2023 at 12:01 AM,2023,Larceny,Larceny,AC,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Complainant reports the theft of a necklace from an unsecured cubby in the womens locker room. Loss $160,Inactive,230491,15102,,,,,,,,,,,,
55,"December 6, 2023",12/06/2023 at 7:57 AM,12/06/2023 at 6:23 AM,2023,Larceny,Larceny,AC,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Complainant reports unsecured bicycle stolen. Loss $98,Cleared By Arrest,230447,15079,,,,,,,,,,,,
55,"November 27, 2023",11/27/2023 at 5:13 PM,11/27/2023 at 3:00 AM,2023,Larceny,Larceny,AB Law,Anheuser-Busch Hall,"Anheuser-Busch Hall (Law School), Washington University in St. Louis, MO",Complainant reports unattended bag containing medication was taken from the 4th floor. Loss $50,Inactive,230431,15025,,,,,,,,,,,,
55,"November 21, 2023",11/30/2023 at 1:50 PM,11/21/2023 at 4:30 PM,2023,Larceny,Larceny,Ridgely Hall,Ridgely Hall,"Ridgely Hall, Washington University in St. Louis, MO",Complainant reports the theft of a laptop from her desk. Loss $799,Closed,230435,15065,,,,,,,,,,,,
55,"November 21, 2023",12/01/2023 at 10:43 AM,11/21/2023 at 12:00 PM,2023,Larceny,Larceny,Green Hall,Green Hall,"Green Hall, Washington University in St. Louis, MO",Complainant reports secured bicycle stolen during Thanksgiving break. Loss $400,Inactive,230438,15067,,,,,,,,,,,,
56,"November 19, 2023",11/20/2023 at 2:03 PM,11/19/2023 at 12:30 AM,2023,Larceny,Larceny,Village House,Village House,"Village House, Washington University in St. Louis, MO",Complainant reports the theft of a bicycle. Loss $400,Cleared By Arrest,230423,15012,,,,,,,,,,,,
56,"November 18, 2023",03/07/2024 at 4:43 PM,11/18/2023 at 12:00 AM,2023,Stalking,Stalking,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports influx of concerning messages.,Active,240082,15888,,,,,,,,,,,,
56,"November 16, 2023",11/16/2023 at 7:44 AM,11/16/2023 at 6:27 AM,2023,Larceny,Larceny,AC,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Complainant reports the theft of his unsecured bicycle. Loss $150,Cleared By Arrest,230416,15008,,,,,,,,,,,,
56,"November 16, 2023",11/16/2023 at 7:41 AM,11/16/2023 at 3:09 AM,2023,Larceny,Larceny,700 Rosedale,700 block Rosedale,"700 Rosedale, St. Louis, MO",Complainant reports the theft of his bike. Loss $400,Inactive,230414,15006,,,,,,,,,,,,
56,"November 15, 2023",11/21/2023 at 3:03 PM,11/15/2023 at 9:00 AM,2023,Larceny,Larceny,Rebstock,Rebstock Hall,"Rebstock Hall, Washington University in St. Louis, MO",Complainant reports the theft of a bicycle. Loss $360,Inactive,230426,15017,,,,,,,,,,,,
56,"November 14, 2023",11/27/2023 at 4:34 PM,11/14/2023 at 12:30 PM,2023,Larceny,Larceny,Cupples I,Cupples I,"Cupples Hall I, Washington University in St. Louis, MO",Complainant reports the theft of a bicycle over a two week period. Loss $380,Inactive,230430,15027,,,,,,,,,,,,
56,"November 13, 2023",11/20/2023 at 12:37 PM,11/13/2023 at 7:00 AM,2023,Larceny,Larceny,AC,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Complainant reports the theft of items from her locker. Loss $60,Active,230422,15010,,,,,,,,,,,,
56,"November 11, 2023",11/12/2023 at 1:14 PM,11/11/2023 at 9:55 AM,2023,Larceny,Larceny,Bauer Hall,Bauer Hall,"Bauer Hall, Washington University in St. Louis, MO",Complainant reported the theft of his unsecured EVO bike. Loss $1800,Closed; Property Recovered,230405,14979,,,,,,,,,,,,
56,"November 10, 2023",11/10/2023 at 2:43 PM,11/10/2023 at 5:40 AM,2023,Larceny,Larceny,Athletic Complex,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO","Complainant reports the theft of an unsecured bicycle. Loss $100
Bicycle recovered/returned to student 11/13/23",Cleared By Arrest,230398,14975,,,,,,,,,,,,
56,"November 9, 2023",11/10/2023 at 11:35 AM,11/09/2023 at 7:00 PM,2023,Larceny,Larceny,Schnuck Pavilion,Schnuck Pavilion,"Schnucks Pavilion, Washington University in St. Louis, MO",Complainant reports the theft of his bicycle tires. Loss $250,Active,230397,14977,,,,,,,,,,,,
57,"November 4, 2023",11/11/2023 at 5:29 PM,11/04/2023 at 6:00 PM,2023,Larceny,Larceny,Zetcher,Zetcher House,"Zetcher House, Washington University in St. Louis, MO",Complainant reports the theft of a wallet containing credit cards.,Closed,230400,15004,,,,,,,,,,,,
57,"November 3, 2023",11/07/2023 at 7:50 PM,11/03/2023 at 9:00 PM,2023,Larceny,Larceny,Weil Hall,Weil Hall,"Weil Hall, Washington University in St. Louis, MO",Complainant reports the theft of a bicycle. Loss $400,Inactive,230393,14940,,,,,,,,,,,,
57,"November 3, 2023",11/04/2023 at 6:46 PM,11/03/2023 at 5:40 PM,2023,Larceny,Larceny,AB Law,Anheuser-Busch Hall,"Anheuser-Busch Hall (Law School), Washington University in St. Louis, MO",Complainant reports that he left his backpack under a table in the 3rd floor atrium and forgot it. When he returned it was missing. Loss $100,Inactive,230390,14936,,,,,,,,,,,,
57,"November 2, 2023",11/07/2023 at 9:04 AM,11/02/2023 at 1:00 PM,2023,Larceny,Larceny,Compton,Compton Hall,"Compton Hall, Washington University in St. Louis, MO",Three large aluminum panels stolen from the loading dock area. Loss $2240,Inactive,230392,14942,,,,,,,,,,,,
57,"October 30, 2023",10/30/2023 at 9:48 AM,10/30/2023 at 9:48 AM,2023,Assault,Assault,Mallinckrodt,Mallinckrodt Center,"Mallinckrodt Center, Washington University in St. Louis, MO",Disturbance in the kitchen area resulted in assault 3rd.,Cleared by arrest,230377,14893,,,,,,,,,,,,
57,"October 26, 2023",10/31/2023 at 3:59 PM,10/26/2023 at 9:54 AM,2023,Larceny,Larceny,Green Hall,Green Hall,"Green Hall, Washington University in St. Louis, MO",Complainant reports the theft of a bicycle. Loss $780,Cleared By Arrest,230381,14891,,,,,,,,,,,,
57,"October 26, 2023",10/27/2023 at 12:24 PM,10/26/2023 at 9:00 AM,2023,Larceny,Larceny,Brauer Hall,Brauer Hall,"Brauer Hall, Washington University in St. Louis, MO",Complainant reports the theft of a bicycle. Loss $600,Cleared By Arrest,230371,14873,,,,,,,,,,,,
57,"October 25, 2023",10/26/2023 at 1:45 PM,10/25/2023 at 7:44 PM,2023,Larceny,Larceny,Givens,Givens Hall,"Givens Hall, Washington University in St. Louis, MO",Complainant reports the theft of a scooter. Loss $279,Cleared By Arrest,230365,14877,,,,,,,,,,,,
57,"October 25, 2023",10/25/2023 at 6:15 PM,10/25/2023 at 6:15 PM,2023,Larceny,Larceny,Givens,Givens Hall,"Givens Hall, Washington University in St. Louis, MO","Complainant reports the theft of a bicycle. Loss $540
Bike recovered 10/26/23 and returned to owner",Cleared By Arrest,230363,14879,,,,,,,,,,,,
57,"October 22, 2023",10/22/2023 at 10:49 PM,10/22/2023 at 4:00 PM,2023,Larceny,Larceny,Green Hall,Green Hall,"Green Hall, Washington University in St. Louis, MO",Complainant reports the theft of a secured bike. Loss $275,Cleared,230347,14809,,,,,,,,,,,,
58,"October 21, 2023",10/21/2023 at 5:23 PM,10/21/2023 at 5:23 PM,2023,Fire,Fire,Lopata House,Lopata House,"Lopata House, Washington University in St. Louis, MO",Minor fire contained to an oven during the self-cleaning process. No damage to property reported.,Cleared,23-10-21-036439,14811,,,,,,,,,,,,
58,"October 21, 2023",10/21/2023 at 12:54 AM,10/21/2023 at 12:50 AM,2023,Motor Vehicle Theft,Stolen Vehicle,Tisch Commons,Tisch Commons,"Tisch Commons, Washington University in St. Louis, MO",2 students took a golf cart without permission.,Cleared by arrest. Property recovered,230344,14813,,,,,,,,,,,,
58,"October 20, 2023",10/20/2023 at 11:40 PM,10/20/2023 at 11:33 PM,2023,Assault 3rd,Assault,Frat House 6,Frat House 6,"6 Fraternity Way, St. Louis, MO 63105",Assault during an event at the house.,"Cleared, referred to JA",230343,14815,,,,,,,,,,,,
58,"October 20, 2023",10/23/2023 at 4:52 PM,10/20/2023 at 9:01 AM,2023,Larceny,Larceny,Somers,Somers Family Hall,"Somers Family Hall, Washington University in St. Louis, MO",Complainant reports the theft of a bike. Loss pending.,Inactive,230350,14882,,,,,,,,,,,,
58,"October 19, 2023",10/26/2023 at 5:32 PM,10/19/2023 at 5:00 PM,2023,Larceny,Larceny,Rebstock,Rebstock Hall,"Rebstock Hall, Washington University in St. Louis, MO",Complainant reports the theft of a scooter. Loss $249,Pending,230368,14875,,,,,,,,,,,,
58,"October 19, 2023",,10/19/2023 at 4:15 PM,2023,Security Memo,Security Memo,,,,,,,14821,,,,,,,,,,,,
58,"October 19, 2023",10/20/2023 at 5:00 PM,10/19/2023 at 10:00 AM,2023,Larceny,Larceny,Olin,Olin Library,"1 Brookings Dr, St. Louis, MO 63130","Complainant reports the theft of a rental bike, black Batch Bears Bike from the rack on the south side of Olin. Loss $400",Pending,230342,14817,,,,,,,,,,,,
58,"October 19, 2023",10/19/2023 at 7:03 PM,10/19/2023 at 9:00 AM,2023,Larceny,Larceny,Rudolph,Rudolph Hall,"Rudolph Hall, Washington University in St. Louis, MO",Complainant reports the theft of a bicycle locked with a cable lock. Loss $400,Cleared By Arrest,230337,14807,,,,,,,,,,,,
58,"October 18, 2023",10/18/2023 at 11:47 PM,10/18/2023 at 10:30 PM,2023,Larceny,Larceny,Givens,Givens Hall,"Givens Hall, Washington University in St. Louis, MO",Complainant reports the theft of a bicycle. Loss $180,Cleared By Arrest,230333,14884,,,,,,,,,,,,
58,"October 18, 2023",10/20/2023 at 4:11 PM,10/18/2023 at 5:32 AM,2023,Larceny,Larceny,Schnuck Pavilion,Schnuck Pavilion,"Schnucks Pavilion, Washington University in St. Louis, MO",Complainant reports the theft of a black Specialized bike with pink writing. Loss $1200,Cleared,230341,14819,,,,,,,,,,,,
59,"October 17, 2023",10/17/2023 at 3:13 PM,10/17/2023 at 12:30 PM,2023,Larceny,Larceny,Green Hall,Green Hall,"Green Hall, Washington University in St. Louis, MO",Complainant reported the theft of a scooter. Loss $700,Inactive,230326,14800,,,,,,,,,,,,
59,"October 17, 2023",10/24/2023 at 12:08 AM,10/17/2023 at 10:00 AM,2023,Larceny,Larceny,Green Hall,Green Hall,"Green Hall, Washington University in St. Louis, MO",Complainant reports unsecured bicycle stolen. Loss $98,Inactive,230353,14827,,,,,,,,,,,,
59,"October 15, 2023",,10/15/2023 at 2:34 PM,2023,Criminal Incident-Assault,Assault,Big Bend near Fontbonne,Big Bend near Fontbonne,"Big Bend near Fontbonne, Washington University in St. Louis, MO",,,,14798,,,,,,,,,,,,
59,"October 13, 2023",10/13/2023 at 1:37 AM,10/13/2023 at 1:36 AM,2023,Larceny,Larceny,Millbrook 1,Millbrook 1,"6926 Forest Park Pkwy, University City, MO 63130",Students were found with stolen key card kiosk and traffic barricade. Items were recovered.,"Cleared, referred to JA",230316,14768,,,,,,,,,,,,
59,"October 13, 2023",10/13/2023 at 1:22 AM,10/13/2023 at 1:20 AM,2023,Fire,Fire,Millbrook 1,Millbrook 1,"6926 Forest Park Pkwy, University City, MO 63130",Subjects using a toaster oven on top of the stove inadvertently turned on the stove which caused the toaster over to catch fire and melt.,Cleared,230315,14770,,,,,,,,,,,,
59,"October 12, 2023",10/12/2023 at 12:53 PM,10/12/2023 at 7:56 AM,2023,Larceny,Larceny,Seigle,Seigle Hall,"Seigle Hall, Washington University in St. Louis, MO",Complainant reports the theft of an unsecured bicycle. Loss $425,Inactive,230312,14772,,,,,,,,,,,,
59,"October 8, 2023",10/09/2023 at 6:16 PM,10/08/2023 at 9:30 AM,2023,Larceny,Larceny,AC,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Complainant reports the theft of an unsecured bicycle. Loss pending,Active,230309,14774,,,,,,,,,,,,
59,"October 5, 2023",10/05/2023 at 7:34 PM,10/05/2023 at 2:15 PM,2023,Larceny,Larceny,Whitaker,Whitaker Hall,"Whitaker Hall, Washington University in St. Louis, MO",Complaint reports the theft of his secured bicycle from the south side bike rack. Loss $1000,Cleared,230305,14745,,,,,,,,,,,,
59,"September 29, 2023",10/01/2023 at 8:00 PM,09/29/2023 at 5:00 PM,2023,Larceny,Larceny,Promenade,Promenade,"The Promenade, Washington University in St. Louis, MO",Sign stolen from the basketball court. Loss $50. Suspect identified and property returned.,Cleared,230295,14741,,,,,,,,,,,,
59,"September 29, 2023",,09/29/2023 at 5:20 AM,2023,Security Memo-Robbery,Robbery,6000 blk Pershing,6000 block Pershing,"6000 Pershing, St. Louis, MO",,,,14694,,,,,,,,,,,,
60,"September 28, 2023",01/28/2025 at 3:13 PM,09/28/2023 at 3:00 PM,2023,Sexual Assault,Sexual Assault,Umrath Hall,Umrath Hall,"Umrath Hall, Washington University in St. Louis, MO",Complainant reports non-consensual incident.,Closed,250036,17012,,,,,,,,,,,,
60,"September 28, 2023",10/01/2023 at 11:19 PM,09/28/2023 at 12:00 AM,2023,Larceny,Larceny,Zetcher,Zetcher House,"Zetcher House, Washington University in St. Louis, MO",Complainant reports the theft of an unsecured Bears bike from the racks.,Inactive,230291,14739,,,,,,,,,,,,
60,"September 27, 2023",09/27/2023 at 10:39 PM,09/27/2023 at 10:39 PM,2023,Fire-6600 Washington,Fire,6600 Washington,6600 Washington,"6600 Washington, St. Louis, MO",Grease fire while cooking. Damage amount pending.,Cleared,230276,14696,,,,,,,,,,,,
60,"September 23, 2023",09/24/2023 at 12:19 AM,09/23/2023 at 8:16 PM,2023,Larceny,Larceny,Green Hall,Green Hall,"Green Hall, Washington University in St. Louis, MO",Complainant reported the theft of his bicycle. Loss $510,Cleared,230261,14698,,,,,,,,,,,,
60,"September 19, 2023",09/19/2023 at 12:59 AM,09/19/2023 at 12:45 AM,2023,Arson,Arson,316 Skinker,316 Skinker,"316 Skinker, St. Louis, MO",Personal belongings intentionally set on fire outside the rear door.,Inactive,230243,14634,,,,,,,,,,,,
60,"September 18, 2023",10/03/2023 at 11:54 AM,09/18/2023 at 11:54 AM,2023,Larceny,Larceny,AC,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Womens soccer team report a series of thefts occurring over a two week time period from unsecured lockers.,Inactive,230298,14743,,,,,,,,,,,,
60,"September 15, 2023",09/29/2023 at 8:44 AM,09/15/2023 at 9:20 AM,2023,Assault,Assault,Crow Hall,Crow Hall,"Crow Hall, Washington University in St. Louis, MO",Complainant reports that a subject unknown spit on him while he was walking across campus near Crow Hall. Victim declined further investigation or prosecution.,Closed,230280,14737,,,,,,,,,,,,
60,"September 12, 2023",09/12/2023 at 7:32 AM,09/12/2023 at 6:50 AM,2023,Larceny,Larceny,AC,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Complainants bike lock cut and bike stolen.,Closed,230206,14584,,,,,,,,,,,,
60,"September 11, 2023",,09/11/2023 at 12:16 AM,2023,Security Memo,Security Memo,Shepley Dorm,Shepley Dorm,"214-298 S Big Bend Blvd, Clayton, MO 63105",,,,14581,,,,,,,,,,,,
60,"September 9, 2023",09/10/2023 at 2:56 PM,09/09/2023 at 9:30 PM,2023,Larceny,Larceny,Wheeler,Wheeler House,"Wheeler House, Washington University in St. Louis, MO",Complainant reports the theft of his bicycle. Loss $1000. Bicycle later recovered.,Closed,230191,14575,,,,,,,,,,,,
61,"September 8, 2023",09/13/2023 at 5:32 PM,09/08/2023 at 6:00 PM,2023,Larceny,Larceny,Gregg,Gregg,"Gregg House, Washington University in St. Louis, MO",Complainant reports the theft of a bicycle which had been secured with a cable lock. Loss $650,Closed,230213,14632,,,,,,,,,,,,
61,"September 8, 2023",09/14/2023 at 2:39 PM,09/08/2023 at 3:45 PM,2023,Larceny,Larceny,AC,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Complainant reports the theft of his bicycle. Loss $2000,Inactive,230220,14630,,,,,,,,,,,,
61,"September 8, 2023",09/08/2023 at 11:34 AM,09/08/2023 at 11:00 AM,2023,Larceny,Larceny,Bryan,Bryan Hall,"Bryan Hall, Washington University in St. Louis, MO",Complainant reports the theft of her wallet from an unsured area.,Inactive,230183,14579,,,,,,,,,,,,
61,"September 6, 2023",09/10/2023 at 3:27 PM,09/06/2023 at 7:12 AM,2023,Larceny,Larceny,AC,Athletic Complex,"Athletic Complex, Washington University in St. Louis, MO",Bicycle stolen from AC. Loss $400,Inactive,230192,14573,,,,,,,,,,,,
61,"September 4, 2023",09/04/2023 at 10:56 PM,09/04/2023 at 10:51 PM,2023,Larceny,Larceny,Olin Loading Dock,Olin Loading Dock,"Olin Loading Dock, Washington University in St. Louis, MO",Golf cart stolen. Loss pending,Active,230172,14586,,,,,,,,,,,,
61,"September 1, 2023",09/01/2023 at 3:36 AM,09/01/2023 at 3:00 AM,2023,Arson,Arson,310 Skinker,310 Skinker,"310 Skinker, St. Louis, MO",Mattress fire in the alley at 310 Skinker. Fire was extinguished by St. Louis City Fire Dept.,Inactive,230167,14541,,,,,,,,,,,,
61,"August 30, 2023",09/09/2023 at 1:14 PM,08/30/2023 at 3:00 PM,2023,Larceny,Larceny,Shandeling Dorm,Shanedling Dorm,"Shanedling Hall, Washington University in St. Louis, MO",Unsecured bicycle stolen. Loss $250,Inactive,230190,14577,,,,,,,,,,,,
61,"August 29, 2023",08/29/2023 at 6:41 PM,08/29/2023 at 9:40 AM,2023,Larceny,Larceny,Steinberg,Steinberg,"Steinberg Hall, Washington University in St. Louis, MO",Complainant unable to locate his IPad after attending class. Unknown if it was left in class or later lost elsewhere. Loss $749,Inactive,230165,14474,,,,,,,,,,,,
61,"August 21, 2023",08/21/2023 at 2:24 PM,08/21/2023 at 1:45 PM,2023,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO","Complainant lost his wallet and when it was found and returned, he reported the cash missing. Loss $275",Active,230143,14446,,,,,,,,,,,,
