Page,Date,Time_Reported,Time_Occurred,Year,Incident_Type,Incident_Type_Clean,Location,Location_Clean,Address,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,
5,"July 5, 2026",07/05/2026 at 10:55 PM,07/05/2026 at 8:52 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260239,28338,,,,,,,,,,,,
5,"June 29, 2026",06/29/2026 at 12:28 AM,06/29/2026 at 12:28 AM,2026,Larceny,Larceny,Lofts,Lofts,"Lofts, Washington University in St. Louis, MO",Assisted UCPD with a larceny.,Referred to UCPD,26-06-29-025489,28331,,,,,,,,,,,,
5,"June 25, 2026",06/25/2026 at 4:00 PM,06/25/2026 at 1:00 PM,2026,Motor Vehicle Theft,Stolen Vehicle,Eads Hall,Eads Hall,"Eads Hall, Washington University in St. Louis, MO",Complainant reports theft of an electric bike.,Cleared By Arrest,260234,28327,,,,,,,,,,,,
5,"June 23, 2026",06/23/2026 at 11:42 PM,06/23/2026 at 11:42 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260233,28319,,,,,,,,,,,,
5,"June 19, 2026",06/19/2026 at 11:55 PM,06/19/2026 at 11:55 PM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260232,28307,,,,,,,,,,,,
5,"June 19, 2026",06/19/2026 at 10:40 AM,06/19/2026 at 10:30 AM,2026,Trespass,Trespassing,Wrighton Hall,Wrighton Hall,"Wrighton Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260231,28305,,,,,,,,,,,,
5,"June 17, 2026",06/17/2026 at 9:36 PM,06/17/2026 at 7:30 PM,2026,Motor Vehicle Theft,Stolen Vehicle,Rudolph Hall,Rudolph Hall,"Rudolph Hall, Washington University in St. Louis, MO",Complainant reports theft of electric scooter.,Active,260229,28294,,,,,,,,,,,,
5,"June 17, 2026",06/17/2026 at 12:03 AM,06/17/2026 at 11:58 AM,2026,Larceny,Larceny,Sumers Rec,Sumers Rec Center,"Sumers Rec Center, Washington University in St. Louis, MO",Complainant reports theft of bikes.,Active,260228,28292,,,,,,,,,,,,
5,"June 17, 2026",06/18/2026 at 12:16 PM,06/17/2026 at 9:00 AM,2026,Larceny,Larceny,Danforth House,Danforth House,"Danforth House, Washington University in St. Louis, MO",Complainant reports theft of medicine.,Active,260230,28303,,,,,,,,,,,,
5,"June 12, 2026",06/12/2026 at 3:21 PM,06/12/2026 at 2:08 PM,2026,Motor Vehicle Theft,Stolen Vehicle,Sumers Rec,Sumers Rec Center,"Sumers Rec Center, Washington University in St. Louis, MO",Complainant reports theft of electric scooter.,Exceptional Clearance,260226,28173,,,,,,,,,,,,
6,"June 12, 2026",06/12/2026 at 1:46 PM,06/12/2026 at 1:46 PM,2026,Motor Vehicle Theft,Stolen Vehicle,Whitaker Hall,Whitaker Hall,"Whitaker Hall, Washington University in St. Louis, MO",Complainant reports theft of electric scooter.,Active,260225,28171,,,,,,,,,,,,
6,"June 12, 2026",06/12/2026 at 11:41 AM,06/12/2026 at 11:41 AM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO","Subject with no WASHU affiliation located on campus,",Cleared By Arrest,220224,28181,,,,,,,,,,,,
6,"June 12, 2026",06/12/2026 at 5:43 PM,06/12/2026 at 9:20 AM,2026,Larceny,Larceny,Lofts,Lofts,"Lofts, Washington University in St. Louis, MO",Assisted UCPD with a larceny.,Referred to UCPD,26-06-12-023234,28203,,,,,,,,,,,,
6,"June 11, 2026",06/11/2026 at 8:32 PM,06/11/2026 at 2:00 PM,2026,Larceny,Larceny,Lofts,Lofts,"Lofts, Washington University in St. Louis, MO",Assisted UCPD with larceny.,Referred to UCPD,26-06-11-023127,28177,,,,,,,,,,,,
6,"June 8, 2026",06/08/2026 at 3:08 AM,06/08/2026 at 3:08 AM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260220,28151,,,,,,,,,,,,
6,"June 8, 2026",06/08/2026 at 3:08 AM,06/08/2026 at 3:08 AM,2026,Trespass,Trespassing,DUC,Danforth University Center,"Danforth University Center, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260220,28163,,,,,,,,,,,,
6,"June 6, 2026",06/06/2026 at 9:54 PM,06/06/2026 at 9:43 PM,2026,Trespass,Trespassing,Brauer Hall,Brauer Hall,"Brauer Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260219,28149,,,,,,,,,,,,
6,"June 5, 2026",06/05/2026 at 9:59 AM,06/05/2026 at 1:21 AM,2026,Larceny,Larceny,Lofts,Lofts,"Lofts, Washington University in St. Louis, MO",Assisted UCPD with a larceny.,Referred to UCPD,26-06-05-022345,28157,,,,,,,,,,,,
6,"June 5, 2026",06/05/2026 at 7:54 AM,06/05/2026 at 1:14 AM,2026,Property Destruction,Property Destruction,DUC Garage,DUC Garage,"Danforth University Center Garage, Washington University in St. Louis, MO",Complainant reports damage to gate arm.,Active,260218,28147,,,,,,,,,,,,
6,"June 5, 2026",06/05/2026 at 4:14 PM,06/05/2026 at 1:10 AM,2026,Larceny,Larceny,Lofts,Lofts,"Lofts, Washington University in St. Louis, MO",Assisted SLMPD with a larceny.,Referred to SLMPD,26-06-05-022384,28161,,,,,,,,,,,,
7,"June 4, 2026",06/04/2026 at 8:59 AM,06/04/2026 at 6:00 AM,2026,Trespass,Trespassing,January Hall,January Hall,"January Hall, Washington University in St. Louis, MO",Subject with no WASHU affiliation located on campus.,Active,260217,28145,,,,,,,,,,,,
7,"June 2, 2026",06/02/2026 at 7:50 PM,06/02/2026 at 7:50 PM,2026,Larceny,Larceny,Lofts,Lofts,"Lofts, Washington University in St. Louis, MO",Assisted UCPD with a larceny.,Referred to UCPD,26-06-02-022034,28159,,,,,,,,,,,,
7,"June 1, 2026",09/02/2026 at 3:49 PM,06/01/2026 at 12:00 AM,2026,Harassment,Harassment,AB Law,Anheuser-Busch Hall,"Anheuser-Busch Hall (Law School), Washington University in St. Louis, MO",Complainant reports concerning communication.,Pending,260314,28574,,,,,,,,,,,,
7,"May 31, 2026",06/04/2026 at 12:20 AM,05/31/2026 at 12:20 AM,2026,Harassment,Harassment,Eliot House,Eliot House,"Eliot House, Washington University in St. Louis, MO",Complainant reports concerning communication.,Active,260215,28143,,,,,,,,,,,,
7,"May 24, 2026",05/24/2026 at 2:55 AM,05/24/2026 at 2:42 AM,2026,Larceny,Larceny,Sumers Rec,Sumers Rec Center,"Sumers Rec Center, Washington University in St. Louis, MO",Complainant reports theft of bags.,Active,260210,28101,,,,,,,,,,,,
7,"May 21, 2026",05/21/2026 at 1:42 PM,05/21/2026 at 11:44 AM,2026,Motor Vehicle Theft,Stolen Vehicle,Green Hall,Green Hall,"Green Hall, Washington University in St. Louis, MO",Complainant reports theft of electric scooter.,Closed,260208,28103,,,,,,,,,,,,
7,"May 18, 2026",05/18/2026 at 8:58 AM,05/18/2026 at 8:58 AM,2026,Larceny,Larceny,Shanedling Hall,Shanedling Dorm,"Shanedling Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,260204,28077,,,,,,,,,,,,
7,"May 17, 2026",05/18/2026 at 1:48 PM,05/17/2026 at 10:00 PM,2026,Larceny,Larceny,Forsyth Blvd,Forsyth Blvd,"Forsyth Blvd, St. Louis, MO",Assisted other jurisdiction with a larceny.,Referred to Other Jurisdiction,26-05-18-020333,28064,,,,,,,,,,,,
7,"May 11, 2026",05/11/2026 at 6:25 PM,05/11/2026 at 4:04 PM,2026,Larceny,Larceny,Jubel Hall,Jubel Hall,"Jubel Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,260199,28017,,,,,,,,,,,,
7,"May 10, 2026",05/10/2026 at 10:44 PM,05/10/2026 at 10:30 PM,2026,Trespass,Trespassing,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Subjects with no WASHU affiliation located on campus.,Exceptional Clearance,260198,28011,,,,,,,,,,,,
8,"May 8, 2026",05/09/2026 at 9:50 PM,05/08/2026 at 12:00 AM,2026,Larceny,Larceny,Delmar Blvd,Delmar Blvd,"Delmar Blvd, St. Louis, MO",Assisted SLMPD with a larceny.,Referred to SLMPD,26-05-09-019390,28013,,,,,,,,,,,,
8,"May 6, 2026",05/06/2026 at 3:51 PM,05/06/2026 at 3:53 PM,2026,Trespass,Trespassing,South Campus,South Campus,"6501 Clayton Rd, Clayton, MO 63117",Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260194,27908,,,,,,,,,,,,
8,"May 4, 2026",05/04/2026 at 10:39 AM,05/04/2026 at 10:39 AM,2026,Larceny,Larceny,Hillman Hall,Hillman Hall,"Hillman Hall, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,260191,27889,,,,,,,,,,,,
8,"May 2, 2026",05/04/2026 at 8:21 PM,05/02/2026 at 3:34 PM,2026,Larceny,Larceny,Greenway Apts,Greenway Apts,"Greenway Apts, Washington University in St. Louis, MO",Complainant reports theft of bike.,Active,260192,27891,,,,,,,,,,,,
8,"May 2, 2026",05/03/2026 at 8:12 PM,05/02/2026 at 7:00 AM,2026,Larceny,Larceny,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Complainant reports theft of technology.,Inactive,260190,27886,,,,,,,,,,,,
8,"May 1, 2026",06/03/2026 at 4:26 PM,05/01/2026 at 12:00 PM,2026,Larceny,Larceny,Dauten Hall,Dauten Dorm,"Dauten Hall, Washington University in St. Louis, MO",Complainant reports theft of headphones.,Active,260214,28155,,,,,,,,,,,,
8,"April 29, 2026",04/29/2026 at 3:30 PM,04/29/2026 at 2:04 PM,2026,Criminal Sexual Contact,Criminal Sexual Contact,Lien Hall,Lien Hall,"Lien Hall, Washington University in St. Louis, MO",Complainant reports nonconsensual touch.,Pending,260203,28627,,,,,,,,,,,,
8,"April 27, 2026",04/30/2026 at 7:06 PM,04/27/2026 at 6:30 PM,2026,Larceny,Larceny,South Campus,South Campus,"6501 Clayton Rd, Clayton, MO 63117",Complainant reports theft of food.,Active,260188,27880,,,,,,,,,,,,
8,"April 25, 2026",04/25/2026 at 10:49 AM,04/25/2026 at 9:50 AM,2026,Weapons Violation,Weapons Violation,Bears Den,Bears Den,"Bears Den (Danforth University Center), Washington University in St. Louis, MO",Subject located in possession of weapons.,Cleared By Arrest,260177,27858,,,,,,,,,,,,
8,"April 24, 2026",04/24/2026 at 9:42 AM,04/24/2026 at 9:42 AM,2026,Stalking,Stalking,Danforth Campus,Danforth Campus,"6475 Forsyth Blvd, St. Louis, MO 63105",Complainant reports concerning communication.,Active,260173,27856,,,,,,,,,,,,
