Page,Date,Time_Reported,Time_Occurred,Incident_Type,Location,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,,,,,
28,"May 22, 2025",05/22/2025 at 7:17 AM,05/22/2025 at 7:10 AM,Trespass,McKelvey Hall,Subject with no WASHU affiliation located on campus.,Active,250265,26146,,,,,,,,,,,,,,,,
28,"May 14, 2025",08/11/2025 at 5:22 PM,05/14/2025 at 12:00 AM,Motor Vehicle Theft,Lopata House,Complainant reports theft of electric scooter.,Inactive,250330,26347,,,,,,,,,,,,,,,,
28,"May 13, 2025",05/13/2025 at 12:56 PM,05/13/2025 at 12:56 PM,Trespass,McKelvey Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250258,17838,,,,,,,,,,,,,,,,
28,"May 12, 2025",11/07/2025 at 11:02 AM,05/12/2025 at 3:00 PM,Larceny,Frat House 4,Complainant reports theft of speakers.,Active,250525,26984,,,,,,,,,,,,,,,,
28,"May 9, 2025",05/09/2025 at 1:02 PM,05/09/2025 at 1:02 PM,Trespass,Tisch,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250248,17681,,,,,,,,,,,,,,,,
28,"May 8, 2025",05/08/2025 at 9:30 AM,05/08/2025 at 9:30 AM,Trespass,Bryan Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250240,17679,,,,,,,,,,,,,,,,
28,"May 6, 2025",05/07/2025 at 2:42 AM,05/06/2025 at 9:45 PM,Larceny,Shanedling Dorm,Complainant reports theft of personal items.,Closed; Property Recovered,250235,17650,,,,,,,,,,,,,,,,
28,"May 6, 2025",05/12/2025 at 12:46 PM,05/06/2025 at 9:00 AM,Larceny,Olin Library,Complainant reports theft of bike.,Active,250255,17836,,,,,,,,,,,,,,,,
28,"May 5, 2025",05/05/2025 at 4:20 PM,05/05/2025 at 4:05 PM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250232,17644,,,,,,,,,,,,,,,,
28,"May 5, 2025",05/05/2025 at 7:38 AM,05/05/2025 at 7:38 AM,Trespass,Jolley Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250230,17642,,,,,,,,,,,,,,,,
29,"April 30, 2025",05/01/2025 at 12:13 AM,04/30/2025 at 7:26 PM,Larceny,Olin Library,Complainant reports theft of electronic equipment.,Active,250227,17613,,,,,,,,,,,,,,,,
29,"April 29, 2025",04/29/2025 at 2:29 PM,04/29/2025 at 2:00 PM,Larceny,Jolley Hall,Complainant reports theft of electronics.,Cleared By Arrest,250222,17578,,,,,,,,,,,,,,,,
29,"April 26, 2025",04/28/2025 at 6:53 PM,04/26/2025 at 4:43 PM,Motor Vehicle Theft,Millbrook,Complainant reports theft of electric scooter.,Active,250218,17551,,,,,,,,,,,,,,,,
29,"April 25, 2025",04/25/2025 at 10:18 PM,04/25/2025 at 10:18 PM,Trespass,Mudd Field,Subject with WUSTL affiliation located on campus with unauthorized access.,Cleared By Arrest,250210,17545,,,,,,,,,,,,,,,,
29,"April 25, 2025",04/25/2025 at 10:20 PM,04/25/2025 at 9:30 PM,Sexual Assault,Mudd Field,Complainant reports non-consensual incident.,Referred to Judicial,250213,17549,,,,,,,,,,,,,,,,
29,"April 25, 2025",04/25/2025 at 11:00 PM,04/25/2025 at 9:20 PM,Simple Assault,Mudd Field,Disturbance resulted in assault.,Referred to Judicial,250211,17547,,,,,,,,,,,,,,,,
29,"April 24, 2025",05/05/2025 at 4:48 PM,04/24/2025 at 4:48 PM,Larceny,Liggett Dorm,Complainant reports theft of bike.,Active,250233,17646,,,,,,,,,,,,,,,,
29,"April 24, 2025",04/24/2025 at 4:41 PM,04/24/2025 at 4:00 PM,Trespass,Facilities,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250199,17523,,,,,,,,,,,,,,,,
29,"April 24, 2025",04/24/2025 at 4:56 PM,04/24/2025 at 1:00 PM,Larceny,Olin Library,Complainant reports theft of headphones.,Inactive,250205,17542,,,,,,,,,,,,,,,,
29,"April 24, 2025",04/24/2025 at 12:39 PM,04/24/2025 at 7:30 AM,Larceny,Bayer Hall,Complainant reports theft of backpack.,Inactive,250202,17540,,,,,,,,,,,,,,,,
30,"April 18, 2025",04/25/2025 at 11:34 AM,04/18/2025 at 6:40 PM,Property Destruction,DUC,Complainant reports paint damage.,Inactive,250208,17538,,,,,,,,,,,,,,,,
30,"April 16, 2025",04/16/2025 at 7:07 PM,04/16/2025 at 7:00 PM,Trespass,Gregg Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250185,17471,,,,,,,,,,,,,,,,
30,"April 16, 2025",04/22/2025 at 12:27 PM,04/16/2025 at 12:27 PM,Larceny,Crow Hall,Complainant reports theft of bike.,Active,250194,17517,,,,,,,,,,,,,,,,
30,"April 16, 2025",04/17/2025 at 3:17 PM,04/16/2025 at 8:50 AM,Fraud,Danforth Campus,Complainant reports fraudulent wire transaction.,Active,250187,17473,,,,,,,,,,,,,,,,
30,"April 16, 2025",04/16/2025 at 8:02 AM,04/16/2025 at 8:02 AM,Harassment,North Brookings,Complainant reports concerning communication.,Active,250183,17469,,,,,,,,,,,,,,,,
30,"April 15, 2025",04/15/2025 at 3:07 PM,04/15/2025 at 2:30 PM,Larceny,276 SKinker,Complainant reports theft of electronic equipment.,Inactive,250181,17467,,,,,,,,,,,,,,,,
30,"April 15, 2025",04/15/2025 at 3:00 PM,04/15/2025 at 12:00 AM,Harassment,Lofts,Complainant reports concerning contact.,Active,250180,17465,,,,,,,,,,,,,,,,
30,"April 13, 2025",04/13/2025 at 11:59 AM,04/13/2025 at 11:45 AM,Trespass,Dauten Dorm,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250178,17461,,,,,,,,,,,,,,,,
30,"April 12, 2025",04/12/2025 at 2:07 PM,04/12/2025 at 1:52 PM,Harassment,Olin Library,Complainant reports concerning communication.,Active,250175,17441,,,,,,,,,,,,,,,,
30,"April 12, 2025",04/14/2025 at 8:59 PM,04/12/2025 at 9:00 AM,Larceny,DUC,Complainant reports theft of money.,Active,250195,17515,,,,,,,,,,,,,,,,
31,"April 10, 2025",04/11/2025 at 12:05 PM,04/10/2025 at 10:00 AM,Larceny,Bears Den,Complainant reports theft of money.,Active,250173,17437,,,,,,,,,,,,,,,,
31,"April 10, 2025",04/11/2025 at 12:05 PM,04/10/2025 at 10:00 AM,Fraud,Bears Den,Complainant reports fraudulent transaction.,Active,250173,17439,,,,,,,,,,,,,,,,
31,"April 7, 2025",04/08/2025 at 3:49 PM,04/07/2025 at 2:50 PM,Harassment,Wilson Hall,Complainant reports concerning contact.,Closed,250166,17431,,,,,,,,,,,,,,,,
31,"April 7, 2025",04/07/2025 at 9:44 AM,04/07/2025 at 9:44 AM,Trespass,Lofts,Subject with no WASHU affiliation located on campus.,Active,250163,17427,,,,,,,,,,,,,,,,
31,"April 6, 2025",04/06/2025 at 4:30 PM,04/06/2025 at 4:30 PM,Trespass,Forsyth Blvd,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,250158,17402,,,,,,,,,,,,,,,,
31,"April 6, 2025",04/06/2025 at 4:27 PM,04/06/2025 at 4:20 PM,Weapons Law Violation,Mallinckrodt Center,Subject in possession of a firearm located on campus.,Cleared By Arrest,250159,17404,,,,,,,,,,,,,,,,
31,"April 2, 2025",04/02/2025 at 3:59 PM,04/02/2025 at 9:41 AM,Larceny,McMillan Hall,Complainant reports theft of bike.,Active,250151,17400,,,,,,,,,,,,,,,,
31,"April 2, 2025",05/09/2025 at 3:06 PM,04/02/2025 at 2:55 AM,Property Destruction,Rosedale Court Apartments,Complainant reports damage to electronic equipment.,Active,250249,17840,,,,,,,,,,,,,,,,
31,"April 1, 2025",04/01/2025 at 9:35 AM,04/01/2025 at 9:35 AM,Trespass,Knight Center,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250150,17358,,,,,,,,,,,,,,,,
31,"March 29, 2025",03/29/2025 at 1:21 AM,03/29/2025 at 1:21 AM,Sexual Assault,Richmond Heights,Complainant reports non-consensual incident.,Active,250143,17345,,,,,,,,,,,,,,,,
32,"March 28, 2025",03/29/2025 at 11:44 AM,03/28/2025 at 9:50 PM,Property Destruction,Fraternity Row,Complainant reports damage to vehicle equipment.,Active,250144,17348,,,,,,,,,,,,,,,,
32,"March 23, 2025",03/24/2025 at 6:46 PM,03/23/2025 at 2:50 PM,Larceny,Olin Library,Complainant reports theft of bike.,Active,250135,17323,,,,,,,,,,,,,,,,
32,"March 21, 2025",03/24/2025 at 7:27 PM,03/21/2025 at 9:00 PM,Larceny,Park House Dorm,Complainant reports theft of bike.,Inactive,250141,17341,,,,,,,,,,,,,,,,
32,"March 20, 2025",03/20/2025 at 2:37 PM,03/20/2025 at 2:37 AM,Trespass,Women's Building,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250130,17318,,,,,,,,,,,,,,,,
32,"March 18, 2025",04/28/2025 at 8:47 PM,03/18/2025 at 11:30 AM,Larceny,Wilson Hall,Complainant reports theft of bike.,Inactive,250219,17553,,,,,,,,,,,,,,,,
32,"March 17, 2025",03/17/2025 at 4:53 PM,03/17/2025 at 9:00 AM,Fraud,Lopata House,Complainant reports extortion through social media.,Inactive,250118,17291,,,,,,,,,,,,,,,,
32,"March 16, 2025",03/18/2025 at 2:10 PM,03/16/2025 at 8:30 AM,Larceny,Danforth Campus,Complainant reports theft of wallet.,Active,250121,17293,,,,,,,,,,,,,,,,
32,"March 13, 2025",03/13/2025 at 8:40 AM,03/13/2025 at 8:40 AM,Trespass,Jolley Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,240114,17284,,,,,,,,,,,,,,,,
32,"March 11, 2025",03/11/2025 at 12:16 AM,03/11/2025 at 12:14 AM,Trespass,Jolley Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250112,17282,,,,,,,,,,,,,,,,
32,"March 8, 2025",03/08/2025 at 11:35 AM,03/08/2025 at 9:42 AM,Trespass,Dardick House,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250110,17278,,,,,,,,,,,,,,,,
33,"March 5, 2025",03/06/2025 at 4:55 PM,03/05/2025 at 5:30 PM,Assault,Sumers Rec Center,Disturbance resulted in assault.,Referred to Judicial,250109,17275,,,,,,,,,,,,,,,,
33,"March 4, 2025",03/04/2025 at 8:53 PM,03/04/2025 at 8:53 PM,Trespass,Charles F. Knight Exec Ed,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250107,17245,,,,,,,,,,,,,,,,
33,"March 4, 2025",03/04/2025 at 5:48 PM,03/04/2025 at 5:48 PM,Trespass,McKelvey Hall,Subject with no WASHU affiliation located on campus.,Active,250106,17243,,,,,,,,,,,,,,,,
33,"March 3, 2025",03/03/2025 at 8:59 PM,03/03/2025 at 8:59 PM,Trespass,Dardick House,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250104,17240,,,,,,,,,,,,,,,,
33,"February 28, 2025",02/28/2025 at 12:11 PM,02/28/2025 at 12:11 PM,Trespass,AB Law,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,250099,17218,,,,,,,,,,,,,,,,
33,"February 24, 2025",02/24/2025 at 9:11 PM,02/24/2025 at 9:10 PM,Trespass,Risa Commons,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250094,17185,,,,,,,,,,,,,,,,
33,"February 22, 2025",02/27/2025 at 6:47 PM,02/22/2025 at 4:00 PM,Larceny,Myers Hall,Complainant reports theft of bike.,Active,250098,17215,,,,,,,,,,,,,,,,
33,"February 21, 2025",02/21/2025 at 8:38 PM,02/21/2025 at 8:38 PM,Trespass,Goldfarb Hall,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250087,17172,,,,,,,,,,,,,,,,
33,"February 21, 2025",02/21/2025 at 7:38 AM,02/21/2025 at 7:38 AM,Trespass,Knight Hall,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250086,17170,,,,,,,,,,,,,,,,
33,"February 20, 2025",02/20/2025 at 8:00 AM,02/20/2025 at 6:00 AM,Trespass,Charles F. Knight Exec Ed,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250081,17156,,,,,,,,,,,,,,,,
34,"February 19, 2025",02/23/2025 at 4:14 PM,02/19/2025 at 10:30 PM,Larceny,Sumers Rec Center,Complainant reports theft of shoes.,Active,250090,17175,,,,,,,,,,,,,,,,
34,"February 19, 2025",02/19/2025 at 8:52 PM,02/19/2025 at 8:52 PM,Trespass,Nami Ramen,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250080,17158,,,,,,,,,,,,,,,,
34,"February 19, 2025",02/19/2025 at 1:11 PM,02/19/2025 at 1:11 PM,Harassment,Danforth Campus,Complainant reports concerning contact.,Inactive,25-02-19-004724,27335,,,,,,,,,,,,,,,,
34,"February 18, 2025",02/18/2025 at 1:10 PM,02/18/2025 at 1:10 PM,Trespass,Charles F. Knight Exec Ed,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250078,17135,,,,,,,,,,,,,,,,
34,"February 16, 2025",02/23/2025 at 6:05 PM,02/16/2025 at 6:00 PM,Larceny,Sumers Rec Center,Complainant reports theft of shoes.,Active,250091,17177,,,,,,,,,,,,,,,,
34,"February 16, 2025",02/16/2025 at 4:07 PM,02/16/2025 at 4:07 PM,Trespass,Knight Hall,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250075,17126,,,,,,,,,,,,,,,,
34,"February 14, 2025",02/14/2025 at 11:46 PM,02/14/2025 at 11:20 PM,Larceny,Koenig Dorm,Complainant reports theft of phone.,Unfounded; Returned To Owner,250073,17124,,,,,,,,,,,,,,,,
34,"February 14, 2025",02/14/2025 at 2:17 PM,02/14/2025 at 12:55 PM,Motor Vehicle Theft,Simon Hall,Complainant reports theft of electric bike.,Active,250072,17122,,,,,,,,,,,,,,,,
34,"February 13, 2025",02/13/2025 at 11:33 PM,02/13/2025 at 11:33 PM,Trespass,Brown Hall,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250071,17120,,,,,,,,,,,,,,,,
34,"February 11, 2025",02/25/2025 at 3:45 PM,02/11/2025 at 11:16 AM,Harassment,Seigle Hall,Complainant reports concerning communication.,Active,250095,17187,,,,,,,,,,,,,,,,
35,"February 10, 2025",02/10/2025 at 7:10 AM,02/10/2025 at 7:00 AM,Trespass,Charles F. Knight Exec Ed,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250063,17116,,,,,,,,,,,,,,,,
35,"February 7, 2025",02/07/2025 at 1:41 PM,02/07/2025 at 1:41 PM,Larceny,Village House,Complainant reports theft of bike.,Cleared By Arrest,250058,17105,,,,,,,,,,,,,,,,
35,"February 6, 2025",02/06/2025 at 11:42 PM,02/06/2025 at 10:00 PM,Trespass,Goldfarb Hall,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250057,17097,,,,,,,,,,,,,,,,
35,"February 6, 2025",02/06/2025 at 11:42 PM,02/06/2025 at 10:00 PM,Property Destruction,Goldfarb Hall,Complainant reports liquid damage.,Cleared By Arrest,250057,17100,,,,,,,,,,,,,,,,
35,"February 6, 2025",02/07/2025 at 4:47 PM,02/06/2025 at 6:30 PM,Larceny,DUC,Complainant reports theft of wallet.,Unfounded,250060,17102,,,,,,,,,,,,,,,,
35,"February 6, 2025",02/06/2025 at 4:21 PM,02/06/2025 at 4:21 PM,Larceny,Olin Library,Complainant reports theft of fanny pack.,Unfounded,250056,17095,,,,,,,,,,,,,,,,
35,"February 5, 2025",02/06/2025 at 9:40 AM,02/05/2025 at 9:00 PM,Larceny,Dauten Dorm,Complainant reports theft of bike.,Cleared By Arrest,250055,17093,,,,,,,,,,,,,,,,
35,"February 4, 2025",02/05/2025 at 3:13 PM,02/04/2025 at 5:00 PM,Larceny,Dauten Dorm,Complainant reports theft of bike.,Inactive,250054,17091,,,,,,,,,,,,,,,,
35,"February 4, 2025",02/18/2025 at 2:41 PM,02/04/2025 at 2:21 PM,Fraud,Danforth Campus,Complainant reports fraudulent wire transaction.,Active,250079,17138,,,,,,,,,,,,,,,,
35,"February 4, 2025",02/04/2025 at 6:27 PM,02/04/2025 at 2:00 PM,Harassment,Seigle Hall,Complainant reports concerning communication.,Inactive,250052,17077,,,,,,,,,,,,,,,,
36,"February 4, 2025",02/07/2025 at 2:08 PM,02/04/2025 at 8:30 AM,Larceny,Athletic Complex,Complainant reports theft of bike.,Cleared By Arrest,250059,17107,,,,,,,,,,,,,,,,
36,"February 1, 2025",02/02/2025 at 12:54 PM,02/01/2025 at 5:56 PM,Fraud,Mallinckrodt Center,Complainant reports fraudulent exchange of goods.,Cleared By Arrest,250048,17064,,,,,,,,,,,,,,,,
36,"January 31, 2025",02/03/2025 at 6:11 PM,01/31/2025 at 9:00 PM,Larceny,Mallinckrodt Center,Complainant reports theft of bike.,Inactive,250050,17069,,,,,,,,,,,,,,,,
36,"January 29, 2025",01/30/2025 at 11:17 AM,01/29/2025 at 2:30 PM,Harassment,Bears Den,Complainant reports concerning communication.,Active,250041,17060,,,,,,,,,,,,,,,,
36,"January 28, 2025",01/28/2025 at 11:08 PM,01/28/2025 at 9:29 PM,Property Destruction,Snow Way Garage,Subject broke gate arm.,Active,250038,17015,,,,,,,,,,,,,,,,
36,"January 25, 2025",01/31/2025 at 7:40 PM,01/25/2025 at 8:00 PM,Larceny,Millbrook Garage,Complainant reports theft of vehicle tabs.,Inactive,250044,17062,,,,,,,,,,,,,,,,
36,"January 25, 2025",01/25/2025 at 3:29 PM,01/25/2025 at 2:45 PM,Fraud,Millbrook,Complainant reports attempted extortion through social media.,Active,250030,16948,,,,,,,,,,,,,,,,
36,"January 24, 2025",01/27/2025 at 5:14 PM,01/24/2025 at 11:48 AM,Larceny,Sumers Rec Center,Complainant reports theft of packages.,Inactive,250034,16952,,,,,,,,,,,,,,,,
36,"January 22, 2025",01/22/2025 at 11:19 PM,01/22/2025 at 9:30 PM,Larceny,Athletic Complex,Complainant reports theft of shoes.,Inactive,250025,16923,,,,,,,,,,,,,,,,
36,"January 22, 2025",01/22/2025 at 5:33 PM,01/22/2025 at 5:33 PM,Larceny,Wheeler House,Complainant reports theft of bike.,Inactive,250024,16921,,,,,,,,,,,,,,,,
37,"January 20, 2025",01/20/2025 at 10:57 AM,01/20/2025 at 10:57 AM,Trespass,Bauer Hall,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250019,16899,,,,,,,,,,,,,,,,
37,"January 17, 2025",01/17/2025 at 1:10 PM,01/17/2025 at 10:10 AM,Harassment,Danforth Campus,Complainant reports concerning communication.,Active,250013,16904,,,,,,,,,,,,,,,,
37,"January 15, 2025",04/15/2025 at 3:24 PM,01/15/2025 at 7:00 AM,Harassment,Village House,Complainant reports concerning contact.,Inactive,250179,17463,,,,,,,,,,,,,,,,
37,"January 9, 2025",01/09/2025 at 2:04 AM,01/09/2025 at 2:04 AM,Trespass,Bauer Hall,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,250006,16893,,,,,,,,,,,,,,,,
37,"January 8, 2025",04/08/2025 at 11:41 AM,01/08/2025 at 11:41 AM,Larceny,AB Law,Complainant reports theft of bike.,Active,250165,17429,,,,,,,,,,,,,,,,
37,"January 8, 2025",01/22/2025 at 3:28 PM,01/08/2025 at 9:00 AM,Larceny,Sever Hall,Complainant reports theft of computer equipment.,Inactive,250023,16919,,,,,,,,,,,,,,,,
37,"January 1, 2025",01/21/2025 at 2:02 PM,01/01/2025 at 5:00 PM,Larceny,McMillan Hall,Complainant reports theft of office items.,Inactive,250020,16906,,,,,,,,,,,,,,,,
37,"January 1, 2025",05/06/2025 at 12:03 PM,01/01/2025 at 12:03 PM,Larceny,McMillan Hall,Complainant reports theft of bike.,Inactive,250234,17648,,,,,,,,,,,,,,,,
37,"December 31, 2024",12/31/2024 at 10:41 AM,12/31/2024 at 10:35 AM,Trespass,Throop Drive,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,240520,16859,,,,,,,,,,,,,,,,
37,"December 27, 2024",12/27/2024 at 10:00 PM,12/27/2024 at 10:00 PM,Trespass,Knight Hall,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,240517,16857,,,,,,,,,,,,,,,,
38,"December 17, 2024",12/17/2024 at 8:08 PM,12/17/2024 at 8:08 PM,Property Destruction,Millbrook Garage,Driver hit and broke gate arm.,Exceptional Clearance,240506,16855,,,,,,,,,,,,,,,,
38,"December 17, 2024",01/16/2025 at 2:53 PM,12/17/2024 at 7:00 PM,Larceny,Zetcher House,Complainant reports theft of bike.,Active,250010,16895,,,,,,,,,,,,,,,,
38,"December 17, 2024",01/16/2025 at 5:08 PM,12/17/2024 at 12:00 PM,Larceny,Dardick House,Complainant reports theft of bike.,Cleared By Arrest,250010,16897,,,,,,,,,,,,,,,,
38,"December 11, 2024",12/11/2024 at 11:16 PM,12/11/2024 at 11:16 PM,Trespass,Olin Library,Subject with no WUSTL affiliation located on campus.,Cleared By Arrest,240498,16753,,,,,,,,,,,,,,,,
38,"December 8, 2024",12/11/2024 at 11:18 AM,12/08/2024 at 11:57 AM,Fraud,Mallinckrodt Center,Complainant reports fraudulent Bear Bucks transactions.,Cleared By Arrest,240494,16751,,,,,,,,,,,,,,,,
38,"December 6, 2024",12/06/2024 at 8:44 PM,12/06/2024 at 8:49 PM,Attempted Motor Vehicle Theft,Forest Park Parkway,Complainant reports attempted theft of motor vehicle.,Active,240487,16736,,,,,,,,,,,,,,,,
38,"December 4, 2024",12/05/2024 at 9:39 AM,12/04/2024 at 8:30 PM,Property Destruction,Hurd Dorm,Complainant reports damage to bike alarm.,Closed,240482,16697,,,,,,,,,,,,,,,,
38,"December 2, 2024",12/02/2024 at 1:41 PM,12/02/2024 at 1:41 PM,Trespass,Kaldi's Coffee,Subject with no WUSTL affiliation located on campus.,Active,240479,16685,,,,,,,,,,,,,,,,
38,"November 29, 2024",11/30/2024 at 11:59 AM,11/29/2024 at 11:00 AM,Motor Vehicle Theft,Millbrook,Complainant reports theft of electric bike.,Active,240478,16676,,,,,,,,,,,,,,,,
38,"November 25, 2024",11/25/2024 at 12:41 PM,11/25/2024 at 12:41 PM,Property Destruction,Shepley Garage,Complainant reports graffiti on infrastructure.,Active,240475,16672,,,,,,,,,,,,,,,,
39,"November 21, 2024",11/21/2024 at 4:35 PM,11/21/2024 at 11:00 AM,Larceny,Givens Hall,Complainant reports theft of bike.,Active,240470,16654,,,,,,,,,,,,,,,,
39,"November 19, 2024",11/21/2024 at 3:29 PM,11/19/2024 at 3:29 PM,Larceny,Village House,Complainant reports theft of bike.,Active,240469,16651,,,,,,,,,,,,,,,,
39,"November 18, 2024",11/22/2024 at 4:22 PM,11/18/2024 at 11:13 PM,Larceny,Sumers Rec Center,Complainant reports theft of sneakers.,Active,240472,16670,,,,,,,,,,,,,,,,
39,"November 17, 2024",11/18/2024 at 4:29 PM,11/17/2024 at 5:30 PM,Fraud,AB Law,Complainant reports attempted extortion through social media.,Active,240464,16645,,,,,,,,,,,,,,,,
39,"November 17, 2024",05/16/2025 at 11:23 AM,11/17/2024 at 12:00 AM,Harassment,Danforth Campus,Complainant reports concerning communciation.,Pending,250264,20790,,,,,,,,,,,,,,,,
39,"November 14, 2024",11/14/2024 at 12:05 PM,11/14/2024 at 11:30 AM,Trespass,Mallinckrodt Center,Subject with no WUSTL affiliation located on campus.,Active,240459,16642,,,,,,,,,,,,,,,,
39,"November 13, 2024",11/13/2024 at 10:52 AM,11/13/2024 at 10:52 AM,Trespass,Koenig Dorm,Subject with no WUSTL affiliation located on campus.,Active,240457,16624,,,,,,,,,,,,,,,,
39,"November 12, 2024",11/13/2024 at 10:52 AM,11/12/2024 at 5:00 PM,Larceny,Olin Library,Complainant reports theft of tablet.,Active,240458,16627,,,,,,,,,,,,,,,,
39,"November 11, 2024",11/11/2024 at 6:04 PM,11/11/2024 at 3:26 PM,Motor Vehicle Theft,Givens Hall,Complainant reports theft of electric scooter.,Active,240452,16611,,,,,,,,,,,,,,,,
39,"November 10, 2024",11/10/2024 at 3:12 PM,11/10/2024 at 12:10 PM,Larceny,Charles F. Knight Exec Ed,Complainant reports theft of headphones.,Active,240449,16609,,,,,,,,,,,,,,,,
40,"November 10, 2024",12/06/2024 at 3:01 PM,11/10/2024 at 8:00 AM,Larceny,Eliot B,Complainant reports theft of clothes.,Active,240486,16695,,,,,,,,,,,,,,,,
40,"November 9, 2024",11/09/2024 at 5:13 PM,11/09/2024 at 2:41 AM,Harassment,Liggett Dorm,Complainant reports concerning messages.,Active,240447,16604,,,,,,,,,,,,,,,,
40,"November 8, 2024",11/08/2024 at 5:04 PM,11/08/2024 at 8:00 AM,Larceny,AB Law,Complainant reports theft of bike.,Active,240445,16602,,,,,,,,,,,,,,,,
40,"November 7, 2024",11/08/2024 at 11:16 AM,11/07/2024 at 5:00 PM,Larceny,Umrath Hall,Complainant reports theft of camera equipment.,Inactive,240444,16599,,,,,,,,,,,,,,,,
40,"November 6, 2024",11/06/2024 at 10:31 PM,11/06/2024 at 8:50 PM,Larceny,Village House,Complainant reports theft of credit card.,Active,240442,16597,,,,,,,,,,,,,,,,
40,"November 5, 2024",11/06/2024 at 10:47 AM,11/05/2024 at 8:00 AM,Property Destruction,Olin Library,Complainant reports damage to university property.,Unfounded,240441,16585,,,,,,,,,,,,,,,,
40,"November 4, 2024",11/05/2024 at 11:10 AM,11/04/2024 at 10:00 AM,Property Destruction (Hate Crime),Hillman Hall,Complainant reports derogatory language on infrastructure.,Active,240440,16619,,,,,,,,,,,,,,,,
40,"October 31, 2024",11/02/2024 at 7:25 PM,10/31/2024 at 1:00 PM,Larceny,Zetcher House,Complainant reports theft of clothes.,Active,240435,16547,,,,,,,,,,,,,,,,
40,"October 31, 2024",10/31/2024 at 9:17 PM,10/31/2024 at 9:50 AM,Harassment,Danforth Campus,Complainant reports concerning communication.,Active,240432,16545,,,,,,,,,,,,,,,,
40,"October 29, 2024",10/29/2024 at 7:34 PM,10/29/2024 at 1:00 PM,Larceny,Rebstock Hall,Complainant reports theft of bike.,Active,240426,16543,,,,,,,,,,,,,,,,
41,"October 28, 2024",10/28/2024 at 5:49 PM,10/28/2024 at 5:49 PM,Trespass,Bauer Hall,Subject with no WUSTL affiliation located on campus.,Active,240425,16489,,,,,,,,,,,,,,,,
41,"October 27, 2024",10/27/2024 at 9:34 PM,10/27/2024 at 9:34 PM,Larceny,Bauer Hall,Complainant reports theft and use of credit card.,Cleared; Property Recovered,240423,16487,,,,,,,,,,,,,,,,
41,"October 24, 2024",10/26/2024 at 10:11 AM,10/24/2024 at 6:45 PM,Larceny,DUC,Complainant reports theft of watch.,Active,240420,16464,,,,,,,,,,,,,,,,
41,"October 24, 2024",10/24/2024 at 1:38 PM,10/24/2024 at 12:50 PM,Harassment,Eads Hall,Complainant reports concerning communication.,Active,240412,16460,,,,,,,,,,,,,,,,
41,"October 23, 2024",10/23/2024 at 10:32 PM,10/23/2024 at 10:32 PM,Trespass,Eads Hall,Subject with no WUSTL affiliation located on campus.,Active,240415,16462,,,,,,,,,,,,,,,,
41,"October 22, 2024",10/22/2024 at 2:49 PM,10/22/2024 at 2:49 PM,Property Destruction,Snow Way Garage,Driver hit and broke gate arm.,Active,240407,16453,,,,,,,,,,,,,,,,
41,"October 20, 2024",10/20/2024 at 9:15 PM,10/20/2024 at 9:15 AM,Larceny,AB Law,Complainant reports theft of bike.,Active,240405,16429,,,,,,,,,,,,,,,,
41,"October 17, 2024",10/17/2024 at 10:06 PM,10/17/2024 at 9:05 PM,Larceny,Bears Den,Complainant reports theft of clothing.,Active,240402,16427,,,,,,,,,,,,,,,,
41,"October 16, 2024",10/21/2024 at 1:48 PM,10/16/2024 at 1:00 PM,Property Destruction,Cupples II,Complainant reports damage to sculpture.,Active,240406,16450,,,,,,,,,,,,,,,,
