Page,Date,Time_Reported,Time_Occurred,Incident_Type,Location,Synopsis,Disposition,Report_Number,Post_ID,,,,,,,,,,,,,,,,
6,"June 12, 2026",06/12/2026 at 1:46 PM,06/12/2026 at 1:46 PM,Motor Vehicle Theft,Whitaker Hall,Complainant reports theft of electric scooter.,Active,260225,28171,,,,,,,,,,,,,,,,
6,"June 12, 2026",06/12/2026 at 11:41 AM,06/12/2026 at 11:41 AM,Trespass,DUC,"Subject with no WASHU affiliation located on campus,",Cleared By Arrest,220224,28181,,,,,,,,,,,,,,,,
6,"June 12, 2026",06/12/2026 at 5:43 PM,06/12/2026 at 9:20 AM,Larceny,Lofts,Assisted UCPD with a larceny.,Referred to UCPD,26-06-12-023234,28203,,,,,,,,,,,,,,,,
6,"June 11, 2026",06/11/2026 at 8:32 PM,06/11/2026 at 2:00 PM,Larceny,Lofts,Assisted UCPD with larceny.,Referred to UCPD,26-06-11-023127,28177,,,,,,,,,,,,,,,,
6,"June 8, 2026",06/08/2026 at 3:08 AM,06/08/2026 at 3:08 AM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260220,28151,,,,,,,,,,,,,,,,
6,"June 8, 2026",06/08/2026 at 3:08 AM,06/08/2026 at 3:08 AM,Trespass,DUC,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260220,28163,,,,,,,,,,,,,,,,
6,"June 6, 2026",06/06/2026 at 9:54 PM,06/06/2026 at 9:43 PM,Trespass,Brauer Hall,Subject with no WASHU affiliation located on campus.,Cleared By Arrest,260219,28149,,,,,,,,,,,,,,,,
6,"June 5, 2026",06/05/2026 at 9:59 AM,06/05/2026 at 1:21 AM,Larceny,Lofts,Assisted UCPD with a larceny.,Referred to UCPD,26-06-05-022345,28157,,,,,,,,,,,,,,,,
6,"June 5, 2026",06/05/2026 at 7:54 AM,06/05/2026 at 1:14 AM,Property Destruction,DUC Garage,Complainant reports damage to gate arm.,Active,260218,28147,,,,,,,,,,,,,,,,
6,"June 5, 2026",06/05/2026 at 4:14 PM,06/05/2026 at 1:10 AM,Larceny,Lofts,Assisted SLMPD with a larceny.,Referred to SLMPD,26-06-05-022384,28161,,,,,,,,,,,,,,,,
7,"June 4, 2026",06/04/2026 at 8:59 AM,06/04/2026 at 6:00 AM,Trespass,January Hall,Subject with no WASHU affiliation located on campus.,Active,260217,28145,,,,,,,,,,,,,,,,
7,"June 2, 2026",06/02/2026 at 7:50 PM,06/02/2026 at 7:50 PM,Larceny,Lofts,Assisted UCPD with a larceny.,Referred to UCPD,26-06-02-022034,28159,,,,,,,,,,,,,,,,
7,"June 1, 2026",09/02/2026 at 3:49 PM,06/01/2026 at 12:00 AM,Harassment,AB Law,Complainant reports concerning communication.,Pending,260314,28574,,,,,,,,,,,,,,,,
7,"May 31, 2026",06/04/2026 at 12:20 AM,05/31/2026 at 12:20 AM,Harassment,Eliot House,Complainant reports concerning communication.,Active,260215,28143,,,,,,,,,,,,,,,,
7,"May 24, 2026",05/24/2026 at 2:55 AM,05/24/2026 at 2:42 AM,Larceny,Sumers Rec,Complainant reports theft of bags.,Active,260210,28101,,,,,,,,,,,,,,,,
7,"May 21, 2026",05/21/2026 at 1:42 PM,05/21/2026 at 11:44 AM,Motor Vehicle Theft,Green Hall,Complainant reports theft of electric scooter.,Closed,260208,28103,,,,,,,,,,,,,,,,
7,"May 18, 2026",05/18/2026 at 8:58 AM,05/18/2026 at 8:58 AM,Larceny,Shanedling Hall,Complainant reports theft of bike.,Active,260204,28077,,,,,,,,,,,,,,,,
7,"May 17, 2026",05/18/2026 at 1:48 PM,05/17/2026 at 10:00 PM,Larceny,Forsyth Blvd,Assisted other jurisdiction with a larceny.,Referred to Other Jurisdiction,26-05-18-020333,28064,,,,,,,,,,,,,,,,
7,"May 11, 2026",05/11/2026 at 6:25 PM,05/11/2026 at 4:04 PM,Larceny,Jubel Hall,Complainant reports theft of bike.,Active,260199,28017,,,,,,,,,,,,,,,,
7,"May 10, 2026",05/10/2026 at 10:44 PM,05/10/2026 at 10:30 PM,Trespass,Danforth Campus,Subjects with no WASHU affiliation located on campus.,Exceptional Clearance,260198,28011,,,,,,,,,,,,,,,,
8,"May 8, 2026",05/09/2026 at 9:50 PM,05/08/2026 at 12:00 AM,Larceny,Delmar Blvd,Assisted SLMPD with a larceny.,Referred to SLMPD,26-05-09-019390,28013,,,,,,,,,,,,,,,,
8,"May 6, 2026",05/06/2026 at 3:51 PM,05/06/2026 at 3:53 PM,Trespass,South Campus,Subject with no WASHU affiliation located on campus.,Exceptional Clearance,260194,27908,,,,,,,,,,,,,,,,
8,"May 4, 2026",05/04/2026 at 10:39 AM,05/04/2026 at 10:39 AM,Larceny,Hillman Hall,Complainant reports theft of bike.,Active,260191,27889,,,,,,,,,,,,,,,,
8,"May 2, 2026",05/04/2026 at 8:21 PM,05/02/2026 at 3:34 PM,Larceny,Greenway Apts,Complainant reports theft of bike.,Active,260192,27891,,,,,,,,,,,,,,,,
8,"May 2, 2026",05/03/2026 at 8:12 PM,05/02/2026 at 7:00 AM,Larceny,Bears Den,Complainant reports theft of technology.,Inactive,260190,27886,,,,,,,,,,,,,,,,
